ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Analyzed_Text,Original_Orthography,Translation_Other,Type
ex1,even1260,etiken (turki-v) bo-ce-n kunga,etiken	(turki-v)	bo-ce-n	kunga,old_man	(sleigh-ACC)	give-PRF.PTCP-3SG.POSS	child,the child to whom the sleigh was given by the old man,,,,malchukov-na[p.k.],,,,
ex2,gama1251,[no-e Ø mǝdǝ o-ra-e-o] sehr-rǝ,[no-e	Ø	mǝdǝ	o-ra-e-o]	sehr-rǝ,[he-ERG	Ø	wine	3SG.A-3PL.P-give-NMLZ]	elder-PL,the elders [to whom he gave wine],,,,watters-2002[206],,,,
ex3,gama1251,tha: pǝrĩ:-dǝ o-ra-e-o mi:-rǝ,tha:	pǝrĩ:-dǝ	o-ra-e-o	mi:-rǝ,news	send-NF	3SG.A-3PL.P-BEN/give-NMLZ	person-PL,the people to whom he sent the news,,,,watters-2002[209],,,,
ex4,mala1464,saaṟa kaʈam koʈutta kuuʈʈukaari,saaṟa	kaʈam	koʈutta	kuuʈʈukaari,[Sarah	loan	give:PST:RP]	friend,the friend to whom Sarah gave a loan,,,,ch001asherkumari1997[62 (ex.285b)],,,,
ex5,west2369,mærd-i ke pul-o be-heš dad-æm,mærd-i	ke	pul-o	be-heš	dad-æm,man-DEM	that	money-OBJ.M	to-3SG.PC	gave-1SG,the man who I gave the money to,,,,mahootian-1997[35],,,,
ex6,mand1415,wǒ sòng gěi *(tā) yi - běn xiǎoshuō de rén,wǒ	sòng	gěi	*(tā)	yi	-	běn	xiǎoshuō	de	rén,I	give	to	*(3SG)	one	-	CL	novel	NOM	person,The person to whom I gave a novel.,,,,ch001lithompson1981[584],,,,
ex7,lele1276,bayndí-ŋ go ŋ bè-y kòjò ko-noŋ è jè dí,bayndí-ŋ	go	ŋ	bè-y	kòjò	ko-noŋ	è	jè	dí,man-DEF	REF	1SG	give-3.M	hoe	GEN-1SG	go	VENT	3.M,the man to whom I gave my hoe came,,,,frajzyngier-2001[445],,,,
ex8,thai1261,khon thîi chǎn hây nǎŋs˘i [(kὲ̀̀ε) khăw],khon	thîi	chǎn	hây	nǎŋs˘i	[(kὲ̀̀ε)	khăw],person	REL	1SG	give	book	[to	3SG],the person to whom I gave a book,,,,,,,,
ex9,thai1261,phûuchaay thîi chǎn khǎay nǎ̀̀ŋs˘i hây (kὲ̀̀ε) (khǎw),phûuchaay	thîi	chǎn	khǎay	nǎ̀̀ŋs˘i	hây	(kὲ̀̀ε)	(khǎw),man	REL	1SG	sell	book	give	(to)	(3SG),the man to whom I sold the book,,,,,,,,
ex10,kiny1244,umukôobwa umuhûungu y-a-háa-ye igitabo,umukôobwa	umuhûungu	y-a-háa-ye	igitabo,girl	boy	he-PST-give.REL-ASP	book,the girl to whom the boy gave the book,,,,ch001kimenyi1980[68],,,,
ex11,hung1274,"Itt van a fiú, aki-nek Anna felolvasta a könyvet.","Itt	van	a	fiú,	aki-nek	Anna	felolvasta	a	könyvet.",here	is	the	boy	who-DAT	Anna	PFX.read.DEF	the	book.ACC,Here is the boy to whom Anna reads the book.,,,,ch001keneseivagofenyvesi1998[42],,,,
ex12,mana1295,áine /ʔúsi ʔu-zaza-ø-n-í-ŋe/ go-itíʔin-a,áine	/ʔúsi	ʔu-zaza-ø-n-í-ŋe/	go-itíʔin-a,woman	loin_cloth	2SG.RL-buy-3PL.OBJ-BEN-3SG.OBJ-RES.PRO	2SG.IRR-show.to-1SG.OBJ,Show me the woman you bought the loincloths for.,,,,ch001lichtenberk1983[557],,,,
ex13,ship1254,Bake-bo Pena-n esé-bo meni-ai r-iki jawen baba-bo.,Bake-bo	Pena-n	esé-bo	meni-ai	r-iki	jawen	baba-bo.,child-PL	Pena-ERG	advice-PL:ABS	give-PP1:ABS	EV-COP	3.POSS	grandchild-PL,The children to whom Pena is giving advice are her grandchildren.,,,,valenzuela-2003[530],,,,
ex14,even1259,Beje anty-du bi purta-va bu:-che-v suru-che-n.,Beje	anty-du	bi	purta-va	bu:-che-v	suru-che-n.,man	which-DAT	I	knife-ACC.DEF	give-PST-1SG	go.away-PST-3SG,The man (to) whom I gave the knife went away.,,,,ch10nedjalkov1997[40],,,,
ex15,wari1268,Mon [ma'-on] ma’ tarama’ co mi’ ta’ con hwam pane.,Mon	[ma'-on]	ma’	tarama’	co	mi’	ta’	con	hwam	pane.,that:PROX:hearer.M	[that:PROX:hearer-M]	that:PROX:hearer	man	INFL:M/F.RPP	give	1s	PREP:3SG.M	fish	REM:PST,There is the man to whom I gave a fish.,,,,ch001everettkern1997[88 (ex.125d)],,,,
ex16,imba1240,[Juzi Ø kulki-ta kara-na] warmi,[Juzi	Ø	kulki-ta	kara-na]	warmi,[José	Ø	silver-ACC	give-NMLZ]	woman,the woman to whom José gave money,,,,ch001cole1982[54 (ex.182b)],,,,
ex17,leti1246,aan-ku=ra müem-ele ïaklu la=e,aan-ku=ra	müem-ele	ïaklu	la=e,children-1SG=PL	RED.2SG-give.DEX	top.DEX	DIR=DEX,my children to whom you give the playing-top,,,,engelenhoven-na[229],,,,
ex18,yaqu1251,U jamut-Øi [Peo-ta toto’i-ta ai miika-ka-’u],U	jamut-Øi	[Peo-ta	toto’i-ta	ai	miika-ka-’u],the	woman-NOM	[Pedro-ACC	hen-ACC	3SG:ACC	give-PFV-CLM],The woman to whom Pedro gave (her) the hen.,,,,guerrero-2005[ex.9c],,,,
ex19,yaqu1251,U jamut-tai [Peo-ta toto’i-ta a-ui nenka-ka-’u],U	jamut-tai	[Peo-ta	toto’i-ta	a-ui	nenka-ka-’u],the	woman-NOM	[Peo-ACC	hen-ACC	3SG-DIR	sell-PFV-CLM],The woman to whom Pedro sold the hen (to her).,,,,guerrero-2005[ex.10c],,,,
ex20,haka1240,rool ka-ʔay-ter-mii lawthlawpaa ka-hooy ʔa-sii,rool	ka-ʔay-ter-mii	lawthlawpaa	ka-hooy	ʔa-sii,food	1SG.SBJ-eat-CAUS-REL	farmer	1SG.POSS-friend	3SG.SBJ-COP,The farmer I fed is my friend.,,,,peterson-1998[120],,,,
