Construction_ID,Construction_name,Construction_schema,Description,Language_ID,Construction_meanings::Meaning_ID,Construction_examples::Example_ID,Construction_references::Reference_ID,Construction_references::Pages
2,Prepositional indirect object with a,[A V.subj[A] T a+R],,921,2,1476,,
,,,,,,2844,,
3,Double Object construction,A V.subj[A] R T,,651,2,1477,31,...
,,,,,,3757,206,
5,Dative-Accusative construction,(A) R-dat T-acc V.subj[A],"This is a basic construction for ditransitive verbs. R is in the dative case, the T is in the accusative (or in the reflexive possessive form). Indexing is neutral as there is only subject agreement and no object agreement.",7,2,1479,258,
6,Designative (Internal Possessor) construction,(A) R.POS T.DES+POS.AGR V-a/s,In this construction R is normally noun phrase internal in the possessor position; but it can also be “extracted” and then put into dative as in (1708).,7,2,1480,258,
,,,,,,1708,,
7,Secundative Split Pattern,A R+wa T V.obj[R].subj[A],Agreement is secundative with R. R is marked by an object marker -wa which also marks animate Ps (differential object marking).,9,2,1481,257,
,,,,,,1709,,
,,,,,,3305,,
8,Oblique R construction,A T AGRs-V-AGRo=t R+Post,R is introduced as a postpositional oblique rather than a core argument.,1972,2,1482,334,
9,Double Object construction,A R T subj[A].V.obj[R],"This is the basic pattern for trivalent verbs (in particular, causatives).",1972,2,1483,334,
,,,,,,3306,,
10,Neutral construction,A R T subj[A].V.obj[T],This pattern is exceptional in Saliba in that it has two unmarked core objects.,1972,2,1484,334,
11,Monotransitive construction,A P subj[A].V.obj[P]-dir,"This pattern is used when R is a non-third person; it uses another suppletive stem with T as a primary object, R is expressed indirectly by directional suffixes: he-gave-it-hither ‘gave me’, he-gave-it-thither ‘gave you’.",1972,2,1485,334,
,,,,,,1713,,
12,Double-Object construction,(A) R-acc T-acc V.subj[A],"The double object construction is available, for example, for 'teach', 'tell/say', 'ask', as well as for causatives of transitives.",2,2,1486,234,
,,,,,,7514,,
13,Destinative construction,R=POS T-DEST-AGRpos V-a/s,Here R is “NP-internal”: it is represented as a possessor within the object nounphrase (and indexed by possessive agreement on the object); the object is marked by destinative case.,2,2,1487,234,
14,Double Object construction,A V R T,This is a construction restricted to few ditransitive verbs like gei ‘give’.,1387,2,1488,261,
,,,,,,1716,,
15,Basic Ditransitive construction,(A-erg) R-obj T V.obj[R].subj[A],,3,2,1489,235,
16,Prepositional Indirect-Object construction,A V T to+R,,651,2,1490,,
17,Derived (Benefactive) Ditransitive construction,(A-erg) R-obj T V.BEN-obj[R].subj[A],"It differs from the basic ditransitive in that it obligatorily includes the benefactive applicative on the verb (NB: benefactive < ‘give’). Without the benefactive, these verbs pattern as monotransitives, i.e. they take the T as their object (see ex. 2).",3,2,1491,235,
,,,,,,1719,,
18,Dative construction,(A) R-dat T-acc V.subj[A],This is the basic ditransitive construction.,2,2,1492,234,
19,Dative construction,A R-dat T(-acc) V,The accusative only occurs on animate objects (P- and T-arguments).,4,2,1493,259,204
,,,,,,1721,,
,,,,,,19,,
20,Sociative construction,R-SOC (T(ACC)) V,"This construction is used with verbs of speech predominantly.
NB: T is often unexpressed.",4,2,1494,259,
21,Double Object construction,R-ACC T(-ACC) V,It occurs with some less typical ditransitives (e.g. ‘entrust’). Causatives of transitives also take a Double Object construction.,4,2,1495,259,
,,,,,,1723,,
22,Benefactive construction,R-dat T(acc) V-BEN,The benefactive verb is derived from the contraction of the (adverbial) participle with the GIVE verbs (either of the two suppletive verbs).,4,2,1496,259,
,,,,,,1724,,
23,Prepositional R construction,(A) T=ACC Prep R V-agr/s,The accusative marking only occurs on definite/specific T- and P-arguments.,1839,2,1497,260,
,,,,,,1725,,
24,Quasi-incorporated T construction,T=AGRpos V,"T takes a pronominal enclitic otherwise used for possessive agreement. Yet, it is not an internal R construction, but rather a complex predicate, where the object agreement refers to R “ignoring” a quasi-incorporated T (I poison-gave-him = I poisoned him). Thus, indexing here is secundative, but flagging is indirective (R is still prepositional if overt). Syntactic properties are indirective as well (e.g. R cannot passivize).  M. Dabir-Moghaddam",1839,2,1498,260,
25,Prepositional Object construction,(A) V T gei+R,R is introduced by the preposition gei < ‘give’; the word order can vary. Cf. examples 1499 and 1727 for prepositional R shifting.,1387,2,1499,261,
,,,,,,1727,,
26,Preposed T (BA) construction,(A) ba T  V (gei) R,In a prepositional construction T can be fronted (if definite) and then introduced by BA (definite O marker). Only P/T can be BA-shifted; cf. BA construction in (1728) and prepositional in (1500).,1387,2,1500,261,
,,,,,,1728,,
27,Secundative construction,(A) R T obj[R].subj[A].V,Here both R and T are unmarked: The object agreement on the verb refers to R.,6,2,1501,262,
28,Indirective construction,(A) R(dat) T a/s+t/p-V=d,Here R is optionally marked by the dative clitic; the verb takes the IO-agreement enclitic (prefixal object agreement on the verb refers to T here).,6,2,1502,262,
,,,,,,1730,,
29,Double Object (fluid alignment),(A) R T obj[T].subj[A].V,"This construction is formally identical to the secundative construction, but the alignment is dependent on the animacy hierarchy:
Secundative (as in ex. 1503) can change to indirective alignment (as in ex. 1731), if  T is 1st person; object agreement in ex. 1731 is with the 1st person T.",6,2,1503,262,
,,,,,,1731,,
30,Secundative construction,(A) R T subj[A].obj[R].V,Object agreement cross-references R (unless T is higher in the animacy hierarchy; see secundative construction). This also holds for derived (causative) ditransitives (see ex. 1732).,2225,2,1504,78,
,,,,,,1732,,
31,Indirective construction,(A) T R subj[A].obj[T].V,"Object agreement cross-references T, if it is higher in the animacy hierarchy than R. This also holds for derived (causative) ditransitives (see ex. 1733).",2225,2,1505,78,
,,,,,,1733,,
32,Benefactive construction,(A) R-du T.(obj) V-t/p-a/s,The benefactive is encoded by the suffix -du (van der Voort 2004: 125) and is not cross-referenced by the object agreement.,9,2,1506,257,
,,,,,,1734,,
,,,,,,3761,,
33,Dative construction,(A) R-dat T-acc* V,"T can also take nominative case (if A >> P), predicative case (if the object is in focus), or instrumental case (if the object is indefinite).",2507,2,1507,263,
,,,,,,1735,,
34,Double Object construction,(A) R-acc T-acc* V,"T can also take nominative case (if A >> P), predicative case (if the object is in focus), or instrumental case (if the object is indefinite).",2507,2,1508,263,
,,,,,,1736,,
35,Allative Ditransitive construction,A V.subj[A] T-acc R-all,"T is in accusative (or partitive) case, and R is in allative case.",12,2,1509,193,
36,Double Object construction,R-obj T-obj subj[A].V,"Both R and T (as well as P-arguments) will be marked by the object (”non-subject”) case -nuku, if topical.
If pronominal, both R and T (as well as P-arguments) take the object case -na.",13,2,1510,236,
,,,,,,1738,,
37,Dative-Benefactive construction,T-OBJ V (AUX-V) R-siu,"R is marked by the postposition -siu ‘for’ (and additionally by the benefactive auxiliary in a serial verb construction -a ‘go’)
NB (p. 437): The benefactive can also be encoded by means of the serial verb construction (see ex. 1739).",13,2,1511,236,237
,,,,,,1739,,
38,Genitive Ditransitive Construction,A V R-gen T-acc,Apparently this construction regularly alternates with the Prepositional Ditransitive Construction.,14,2,1512,,
39,Prepositional Ditransitive Construction,A V T-acc se+R,Apparently this construction regularly alternates with the Genitive Ditransitive Construction.,14,2,1513,,
,,,,,,1741,,
40,Double Accusative Ditransitive Construction,A V R-acc T-acc,Apparently this construction regularly alternates with the Prepositional Ditransitive Construction.,14,2,1514,,
41,Double Object Construction,(A) V(=pro.O) T R,"If R is pronominal, it is marked by resumptive pronouns like other objects. The A may appear either preverbally or – if 3rd person pronoun – postverbally; in that case it follows the resumptive pronoun (if any). It is used when R is affected (to the benefit/detriment).",15,2,1515,264,130
,,,,,,1743,,
42,Prepositional Dative Construction,A V T [bE + R],"Prep+R cannot be shifted to postverbal position if R is nominal, but it can be shifted if pronominal. The construction is used when R is not affected (to the benefit/detriment) (Frajzyngier 2001: 132).",15,2,1516,264,132
,,,,,,1744,,
43,Prepositional Construction,A V T kὲ̀̀ε  R,Most canonical ditransitive verbs use a prepositional construction with preposition kὲ̀̀ε in alternation with the double object construction. The prepositional construction must be used if T is heavy.,16,2,1517,,
,,,,,,1745,,
44,Benefactive construction,A V T hây (kὲ̀̀ε) R,The beneficiary is introduced by hây ‘give’ and optionally with kὲ̀̀ε.,16,2,1518,238,
,,,,,,1746,,
45,Benefactive-Locative Construction,A V T pay hay R,"T is followed by pay ‘go’ and hay ‘give’. If R is inanimate (e.g. ‘send to London’), then hay ‘give’ does not appear.",16,2,1519,238,
,,,,,,1747,,
46,Double Object Construction,A V R T,"Generally, the Double Object Construction occurs with few verbs (’lend’, ‘teach’, ‘pay’, ‘send’, the latter only in ‘send X a message’?), but it is also used for ‘steal’, ‘call’, and ‘hit’-verbs. Its use with (?some of) the ‘steal’-verbs still has to be confirmed, since this construction is indistinguishable from the possessive construction which is equally unmarked.",2561,2,1520,36,
,,,,,,1748,,
47,Prepositional-Applicative Construction,A V T li (APPL) R,"The construction is neutral in indexing. As for flagging, it might be regarded as indirective, as R is introduced by the applicative particle li/ni ‘to, for’. Yet it is not clear whether the particle flags R, as elsewhere (Schaefer & Egbokhare 2008++: 7) it is stated that li/ni belongs to postverbal particles, which suggests that it is rather a postposed marker of T. 
Most ‘manner of motion’ verbs (scoop. ‘pick’, ‘fetch’, ‘uproot’, etc.) can be used in this construction to denote transfer of possession. The use of the allative marker in this construction would imply temporary possession.
Some verbs like ré do not appear outside this construction.",2561,2,1521,36,
,,,,,,1749,,
