Example_ID,Language_ID,Example_type,Primary_text,Original_orthography,Gloss,Analyzed_text,Translation,Translation_other,Comments,Reference_ID,Reference_pages
5,7,,etiken (turki-v) bo-ce-n kunga,,old_man (sleigh-ACC) give-PRF.PTCP-3SG.POSS child,etiken (turki-v) bo-ce-n kunga,the child to whom the sleigh was given by the old man,,,258,p.k.
15,3,,[no-e Ø mǝdǝ o-ra-e-o] sehr-rǝ,,[he-ERG Ø wine 3SG.A-3PL.P-give-NMLZ] elder-PL,[no-e Ø mǝdǝ o-ra-e-o] sehr-rǝ,the elders [to whom he gave wine],,,235,206
17,3,,tha: pǝrĩ:-dǝ o-ra-e-o mi:-rǝ,,news send-NF 3SG.A-3PL.P-BEN/give-NMLZ person-PL,tha: pǝrĩ:-dǝ o-ra-e-o mi:-rǝ,the people to whom he sent the news,,,235,209
19,4,,saaṟa kaʈam koʈutta kuuʈʈukaari,,[Sarah loan give:PST:RP] friend,saaṟa kaʈam koʈutta kuuʈʈukaari,the friend to whom Sarah gave a loan,,,259,62 (ex.285b)
23,1839,,mærd-i ke pul-o be-heš dad-æm,,man-DEM that money-OBJ.M to-3SG.PC gave-1SG,mærd-i ke pul-o be-heš dad-æm,the man who I gave the money to,,,260,35
25,1387,,wǒ sòng gěi *(tā) yi - běn xiǎoshuō de rén,,I give to *(3SG) one - CL novel NOM person,wǒ sòng gěi *(tā) yi - běn xiǎoshuō de rén,The person to whom I gave a novel.,,,261,584
41,15,,bayndí-ŋ go ŋ bè-y kòjò ko-noŋ è jè dí,,man-DEF REF 1SG give-3.M hoe GEN-1SG go VENT 3.M,bayndí-ŋ go ŋ bè-y kòjò ko-noŋ è jè dí,the man to whom I gave my hoe came,,,264,445
43,16,,khon thîi chǎn hây nǎŋs˘i [(kὲ̀̀ε) khăw],,person REL 1SG give book [to 3SG],khon thîi chǎn hây nǎŋs˘i [(kὲ̀̀ε) khăw],the person to whom I gave a book,,,237,(ex.2)
44,16,,phûuchaay thîi chǎn khǎay nǎ̀̀ŋs˘i hây (kὲ̀̀ε) (khǎw),,man REL 1SG sell book give (to) (3SG),phûuchaay thîi chǎn khǎay nǎ̀̀ŋs˘i hây (kὲ̀̀ε) (khǎw),the man to whom I sold the book,,,,(5)
49,18,,umukôobwa umuhûungu y-a-háa-ye igitabo,,girl boy he-PST-give.REL-ASP book,umukôobwa umuhûungu y-a-háa-ye igitabo,the girl to whom the boy gave the book,,,138,68
