Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
5,11,1,either T or R (but not both),"Relativization is participial gapping, which distinguishes between relativization of subjects and non-subjects (in the latter case the subject is retained in the relative clause and cross-referenced on the participle with possessive agreement). Non-subject relativization allows to relativize both T and R (along with P and Obliques).",5,265,
,,,,,254,,
6,11,2,only T,,,,
7,11,3,unclear,The participial/nominalizer can relativize subjects and objects. It is not clear what happens in ditransitives.,256,257,688
8,11,4,only R,Only the primary object (cross-referenced by person indexing) can be relativized (Margetts 1999: 22).,,334,22
9,11,4,only R,Only the primary object (cross-referenced by person indexing) can be relativized.,,334,22
10,11,4,only R,Only the primary object (cross-referenced by person indexing) can be relativized.,,334,22
11,11,,,,260,334,
12,11,,,Relativization of oblique arguments is otherwise possible.,,234,677
14,11,1,either T or R (but not both),There is relativization by nominalization (gapping) on objects and obliques. Hence relativization of both T and (bare) R should be possible (no examples of relativization from a ditransitive double object construction are given though).,,261,579 f.
15,11,5,either T or R or both,"Relativization is realized through the use of nominalization, which distinguishes subject vs. non-subject relative clauses.
In ditransitives both can be relativized. – But out of context the noun phrase head of a non-subject ditransitive is interpreted as R (ex. 7016). – Note: Relative clauses with 1st/2nd person R arguments can be cross-referenced for both R and P (cf. ex. 7017).",15,235,205 / 208
,,,,,264,,
,,,,,7016,,
,,,,,7017,,
17,11,,,"If the R of monotransitives needs to be relativized, then benefactive derivation must apply first (see ex. 17).",17,235,209
18,11,5,either T or R or both,"Relative clauses are participial with gapping. Apart from direct objects, the relativization of oblique objects (including R) is possible.
Note that the same holds also for internal relativization.",267,234,677
23,11,,,"Relativization of subjects and objects is realized by gapping. If the indirect object (or oblique/prepositional object) is relativized, then pronoun retention strategy is used (R is retained as an object-clitic on a preposition).",23,260,34 f.
25,11,,,"Relativization is by nominalization (with gapping) on objects (P/T) (no T example found though), but relativization on prepositional R involves a (resumptive) pronoun.",25,,
30,11,1,either T or R (but not both),"Relativization is head-internal: the relativized NP stays in a relative clause, its function in the main clause is marked with a relative clause-final demonstrative. – Apparently no restrictions on relativization of objects.",279,78,
33,11,,,Only objects (P=T) can be relativized by the passive participle (Maslova 2003: 421).,,263,421
34,11,,,Only objects (P=T) can be relativized by the passive participle (Maslova 2003: 421).,,263,421
36,11,3,unclear,"Relative clauses are formed by participles (with ka- relativizer), also used for agentive nominalizations. Relative clauses can be postnominal, prenominal, or internally headed. If the common argument is subject, the relative (participle) is used. If the common argument is object, the action/object nominalizer -nipe is used. No ditransitive examples are given.",,236,
41,11,,,"Relative clauses in general are postnominal and involve a “referential” relative marker (agreeing in gender with the head). A-relativization by gapping; no resumptive pronoun needed.
With T-relativization, resumptive T enclitic is obligatory unless the head noun is non-specific/indefinite and/or subject is missing.
With R-relativization resumptive R-pronoun is obligatory.",41,264,440
,,,,,290,,
42,11,,,"Relative clauses in general are postnominal and involve a “referential” relative marker (agreeing in gender with the head)..
Not clear how prepositional Rs are relativized (NB associative prepositional arguments strand their preposition).",,264,440
43,11,5,either T or R or both,"Relativization is postnominal; for objects either gapping, or with pronoun retention (apparently possible only with animates).
Note that in the (b) example the resumptive pronoun and preposition are optional.",43,,
,,,,,292,,
44,11,1,either T or R (but not both),Also by a pronoun retention strategy; the benefactive verb hay is also retained (stranded) in relative clauses.,44,,
,,,,,293,,
49,11,1,either T or R (but not both),"Both T and R can be relativized. The relative clause follows the head noun, and its verb is specially marked.",49,138,67
,,,,,298,,
50,11,,,"WH-type relativization; any NP can be relativized, including R.",50,272,42
54,11,1,either T or R (but not both),No explicit discussion; apparently all noun phrases in a simple sentence are relativizable.,,,
55,11,,,No explicit discussion; apparently all noun phrases in a simple sentence are relativizable.,,,
56,11,,,No explicit discussion; apparently all noun phrases in a simple sentence are relativizable.,,,
57,11,1,either T or R (but not both),Relativization is postnominal finite (at least not nominalized or participial). It also often uses resumptive pronoun to refer to the head of the relative clause. Both subjects and objects including obliques can be relativized. Agreement marking on the verb as in the main clause.,57,145,555 ff.
58,11,1,either T or R (but not both),"RCs postnominal participial. Both T and R can be relativized.
Also in internal RCs which relativizes on S/P, both T and R of ditransitives can be relativized: (42b) Tsoma-n joni koríki meni-a]-ra jawen pisha-n iki. [Tsoma-ERG man:ABS money:ABS give-PP2]-EV POSS.3SG bag-LOC COP] ‘The money that Tsoma gave to the man is in his bag.’",58,239,530
,,,,,307,,
59,11,,,"Either by means of nominalization (e.g. resultative nominalization) in which case arguments will additionally take a special “associating” case, or by finite (non-nominalized) subordinate clauses, in 
which case the verb takes complementizing case (except for cases when the relativized noun is subject in both clauses).
An example of resultative nominalization is: 11-63 (p. 479).
An example of a finite relativization of object through the use of complementazing case is: p. 489/ ex. 12-4
In resultative construction only objects; finite relativization to objects (and obliques in nominal cases), but not verbal cases (se dative).",,211,
61,11,,,In any case (p. 180) verbal datives (and other verbal cases) cannot be relativized on or be a pivot in a complex construction. Not clear for oblique non-verbal cases (apparently relativization possible).,,211,180
64,11,1,either T or R (but not both),"RCs are either participial postnominal or finite (with a relative pronoun).  – In participial relative clauses, objects (P,T) can be relativized. Indirect object can only be relativized by a finite (“conjunctive”) RC (with a relative pronoun).",64,240,
,,,,,313,,
65,11,1,either T or R (but not both),Postnominal finite relativization. Both T (76) and R (15) can be relativized. Note: only constituents which are cross-referenced by VIC (AGR) can be relativized. Note: there is a rule of “anti-agreement”: if the object is moved (focused/relativized) object agreement is lost (see (125d)),65,230,88
,,,,,314,,
70,11,,,"Normally prenominal participial. 
R can be relativized along with other objects; but even obliques can be relativized
“Internal” Relative Clauses   
also allow for R relativization
p. 55
(186b)	
[Juzi warmi-man kulki-ta kara-shka]-ka sumaj warmi-mi
José woman-to silver-ACC give-NMLZ-TOP beautiful woman-VAL
‘The woman to whom José gave the money is a beautiful woman.’

NB RC like (186b) can be ambiguous indirect or direct object relativization.",70,241,
73,11,2,only T,Objects (P=T) can be relativized in participial RCs; indirect objects not clear.,322,242,
77,11,,,"Relativization is postnominal finite.
The oblique NP (R) may be relativized; then the directional (deverbal)  clitic is stranded in the RC (229).",77,229,
79,11,1,either T or R (but not both),"Subject relatives by agentive nominalizations in -me, object relatives by gerunds/nominalizations in -u. The RCs are thus non-finite and postnominal. In object relativization the subordinate subject is expressed as a possessor. – Guerrero (2006): The R can be relativized like P by a participial gapping strategy (cf. (8a); though a resumptive proclitic (8b) can also be used in that case. T can be relativized through the latter (resumptive) strategy; not clear if it can also be relativized through the gapping strategy.",79,395,
,,,,,328,,
80,11,1,either T or R (but not both),"Subject relatives by agentive nominalizations in –me, object relatives by gerunds/nominalizations in -u. The relative clauses are thus non-finite and postnominal. In object relativization the subordinate subject is expressed as a possessor. – In the dative construction, both objects can be relativized through gapping in combination with the resumptive object proclitic; but here R-relativization is distinguished by a special dative proclitic.",80,395,
,,,,,329,,
82,11,1,either T or R (but not both),"Apparently, both R and T can be relativized as preposition retention is said to be optional.

Not addressed. Note that SW calls - misleadingly - RC-modification “relativization”.",43,,
,,,,,292,,
84,11,1,either T or R (but not both),"Relativization is pronominal participial; the relative form of the verb retains subject agreement. 
NB there are different relative forms/participles for A-relativization and for S/Op relativization (also separate forms for OBL relativization).",,161,118
85,11,1,either T or R (but not both),Both T and R can be relativized.,85,161,
,,,,,334,,
86,11,1,either T or R (but not both),Both objects can be relativized. NB relativization is neutral. Also with other applicatives,86,161,
,,,,,335,,
95,11,1,either T or R (but not both),"Postnominal gapping relativization, with object-relativization (with the nominalizer –dI) distinct from subject relativization. 
Both T and R relativize like P (symmetric).",95,270,280
,,,,,344,,
100,11,2,only T,"Postnominal gapping RCs with complementizer jang. Only subjects and objects can relativize with this strategy (cf. 35a)), 
NB Actually maybe only subjects, as relativization of objects may be mediated by a rule of object-preposing; although Chung does not agree. 
Importantly, IOs/PPs cannot.",100,278,228
,,,,,349,,
101,11,4,only R,"Derived object (=R) undergoes relativization, (underlying) object (=T) cannot.",101,278,
,,,,,350,,
102,11,,,Presumably like in applicative secundative construction.,,278,
103,11,2,only T,"RCs are postnominal and introduced by a relativizer ni; if object is relativized the verb takes the nominalizer IN (which is identical to passive IN; both regarded as Goal Focus by Topping?).
NB apparently only T can be relativized by the IN strategy; note that  obliques are relativized by bare nominalizations (cf. 48-49).",352,279,48 f.
104,11,1,either T or R (but not both),"Extraction (questioning, relativization, focussing) of both objects from the applicative construction is possible. Extraction involves the use of “goal-focussing” strategies: “goal focus” makers IN (according to Topping), passive IN or passive nominalizer IN (according to Cooreman).

See below for relativization of (shifted) R/applied object. But apparently T relativization is also posible (no examples given);  (cf. Questions)",104,279,117
107,11,1,either T or R (but not both),"Relativization is postnominal gapping (for core arguments), or with resumptive pronouns for obliques. RC is introduced by relativizer kaa (also complementizer ‘that’). When PPs are relativized, there is a possibility of fronting the postposition to REL, or leaving it in situ with a resumptive pronoun.
Relativization of T is possible only from the indirective (dative construction); for R this is also preferable.",107,283,186 ff.
,,,,,356,,
109,11,7,NEITHER,Relativization of T is impossible from a double object construction; relativization of R is questionable.,109,,
110,11,1,either T or R (but not both),[Examples need to be found.],,,
111,11,1,either T or R (but not both),"RCs are (usually) pronominal, participial, gapping or with a resumptive pronoun.
Several nominalizers/participles: 
(i)	-m to relativize animate A/S, also R/BEN arguments
(ii)	–s to relativize animate INSTR (also LOC)
(iii)	–tO (=GEN) to relativize on inanimate O/T/S (p. 225 “if the head is undergoer, or other non-instrument, including an inanimate actor”).",,285,
112,11,1,either T or R (but not both),"Note distinct relativization strategies (participles) for R and P. R-relativization by the animate relativizer -m; T (also inanimate P/S) relativizer tO

NB animate nominalizer –m < mi ‘man’.",112,285,223
,,,,,361,,
113,11,,,"RCs are postnominal participial, and may involve a relative pronoun (=obviative demonstrative). Cf. P-relativization:
p. 360; (103) 
deer [REL man/GEN shoot-PTCPL] 
‘the dear that man shot’
No ditransitive examples given.
Oblique (postpositional) relativization are prenominal and involve a resumptive pronoun:
p. 369; (138) 
it=with my cut-PART] knife 
‘the knife I cut with’",,286,358
115,11,6,...,"Only one example of R relativization, but there is no reason to suspect that T relativization would not be possible. However, since relative clauses are internally headed, it seems that one would not be able to distinguish them. The example ‘I saw the man you gave the basket to’ presumably can also be translated as ‘I saw the basket you gave to the man’.",115,287,115-123
118,11,1,either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized.,,322,80
119,11,1,either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized.,,322,80
120,11,1,either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized. Cf. relativization of oblique T,369,322,80
121,11,1,either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized.,,322,80
122,11,1,either T or R (but not both),RC through a correlative structure (using the relative pronoun naaxan(sg)/naaxee(pl)). Any NP can be relativized.,,322,80
123,11,5,either T or R or both,"Relative clauses either 
a) prenominal participial gapping, or 
b) internal RCs.

a) external RCs: any NP can be relativized;
b) internal RCs (B280); apparently only unmarked objects (P/T) can be relativized
(16ab) [I-Ag box buy-NZR-]DET ‘the box that I bought’",123,292,278
,,,,,372,,
124,11,1,either T or R (but not both),,,,
125,11,1,either T or R (but not both),,,,
130,11,1,either T or R (but not both),"When the R is relativized, a resumptive pronoun is left behind (also with dative-marked arguments of intransitive/applicativized verbs); when the T is relativized, no resumptive pronoun is left behind. (Collins 2004:193: “The fact that a resumptive pronoun needs to be left behind suggests that the dative -a is a clitic. As a clitic, dative -a must combine with a preceding DP.”)",130,256,191-193
,,,,,379,,
132,11,4,only R,"RCs are postnominal participial (49): 
Only the absolutive argument can be relativized: (absolutive) S is relativized by the intransitive participle in –suq, (absolutive) P by the transitive (passive) participle -saq. 
Only the absolutive R can be relativized from the secundative construction, to relativize on a secondary object applicative (”anti-benefactive”) derivation is needed; see ex. (a) below:
R can be relativized directly by means of a transitive/passive participle, or indirectly by means of the intransitive participle in combinatiion with the passive (see ex. (b) below).",132,325,
,,,,,381,,
133,11,2,only T,"RCs are postnominal participial (49): Only the absolutive argument can be relativized: (absolutive) S is relativized by the intransitive participle in –suq, (absolutive) P by the transitive (passive) participle -saq. 
Only the absolutive T can be relativized from the indirective construction (no examples found).",,,
134,11,1,either T or R (but not both),"Relative clauses are usually finite and  include a relative pronouns; they can be either a) postnominal or b) correlative. In both cases no restrictions on relativizing objects (T and R); see examples under Perfective construction.
(There is also a participial (nonfinite) RCs, but those are restricted to subject relativization).",,326,54
135,11,1,either T or R (but not both),"Relative clauses are usually finite and  include a relative pronouns; they can be either a) postnominal or b) correlative. In both cases no restrictions on relativizing objects (T and R); see examples below.
(There is also a participial (nonfinite) RCs, but those are restricted to subject relativization).",135,326,54
,,,,,384,,
